teamID,defense_name,defense_weight,defense_height,defense_age,defense_birthCity,defense_birthState,defense_birthCountry,defense_position,defense_jersey,defense_xp,defense_status,defense_headshot
1,Jaylinn Hawkins,208.0,73.0,25,Buena Park,CA,USA,Safety,jaylinn-hawkins,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3858276.png
1,Casey Hayward,192.0,71.0,33,Perry,GA,USA,Cornerback,casey-hayward,11,active,https://a.espncdn.com/i/headshots/nfl/players/full/14966.png
1,Timmy Horne,323.0,76.0,25,Wadesboro,NC,USA,Defensive Tackle,timmy-horne,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4045701.png
1,Mike Hughes,191.0,70.0,26,New Bern,NC,USA,Cornerback,mike-hughes,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3895841.png
1,Grady Jarrett,305.0,72.0,29,Conyers,GA,USA,Defensive End,grady-jarrett,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2576492.png
1,Nate Landman,235.0,75.0,24,Danville,CA,USA,Linebacker,nate-landman,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243181.png
1,Dylan Mabin,195.0,73.0,25,Macedonia,OH,USA,Cornerback,dylan-mabin,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3909365.png
1,DeAngelo Malone,240.0,76.0,23,Atlanta,GA,USA,Linebacker,deangelo-malone,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243457.png
1,Adetokunbo Ogundeji,268.0,76.0,24,West Bloomfield,MI,USA,Linebacker,adetokunbo-ogundeji,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4046693.png
1,Jeff Okudah,205.0,73.0,24,Grand Prairie,TX,USA,Cornerback,jeff-okudah,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241984.png
1,John Reid,187.0,70.0,26,Mount Laurel,NJ,USA,Cornerback,john-reid,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3929653.png
1,A.J. Terrell,195.0,73.0,24,Atlanta,GA,USA,Cornerback,aj-terrell,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4239995.png
1,Mykal Walker,230.0,75.0,25,Sacramento,CA,USA,Linebacker,mykal-walker,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243009.png
1,Avery Williams,195.0,69.0,24,Pasadena,CA,USA,Cornerback,avery-williams,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4048259.png
2,Zayne Anderson,206.0,74.0,26,Stansbury Park,UT,USA,Safety,zayne-anderson,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/3932335.png
2,Eli Ankou,325.0,75.0,28,Ottawa,ON,Canada,Defensive Tackle,eli-ankou,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3008150.png
2,Boogie Basham,281.0,75.0,25,Roanoke,VA,USA,Defensive End,boogie-basham,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4037239.png
2,Christian Benford,205.0,73.0,22,Randallstown,MD,USA,Cornerback,christian-benford,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4379778.png
2,Terrel Bernard,224.0,73.0,23,La Porte,TX,USA,Linebacker,terrel-bernard,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259166.png
2,Cortez Broughton,291.0,74.0,26,Warner Robins,GA,USA,Defensive Tackle,cortez-broughton,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3139036.png
2,Brandin Bryant,305.0,74.0,29,Omaha,NE,USA,Defensive Tackle,brandin-bryant,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/2982857.png
2,Tyrel Dodson,237.0,72.0,24,Franklin,TN,USA,Linebacker,tyrel-dodson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035232.png
2,Kaiir Elam,191.0,73.0,21,Riviera Beach,FL,USA,Cornerback,kaiir-elam,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4567399.png
2,AJ Epenesa,260.0,78.0,24,Glen Carbon,IL,USA,Defensive End,aj-epenesa,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240585.png
2,Damar Hamlin,200.0,72.0,25,Mckees Rocks,PA,USA,Safety,damar-hamlin,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4036060.png
2,Micah Hyde,197.0,72.0,32,Fostoria,OH,USA,Safety,micah-hyde,10,active,https://a.espncdn.com/i/headshots/nfl/players/full/15960.png
2,Ja'Marcus Ingram,190.0,74.0,25,Dallas,TX,USA,Cornerback,jamarcus-ingram,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240059.png
2,Dane Jackson,180.0,71.0,26,Coraopolis,PA,USA,Cornerback,dane-jackson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3895791.png
2,Taron Johnson,192.0,71.0,26,Sacramento,CA,USA,Cornerback,taron-johnson,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3121003.png
2,Kingsley Jonathan,260.0,76.0,24,Baltimore,MD,USA,Defensive End,kingsley-jonathan,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240405.png
2,DaQuan Jones,320.0,76.0,31,Johnson City,NY,USA,Defensive Tackle,daquan-jones,9,active,https://a.espncdn.com/i/headshots/nfl/players/full/16910.png
2,Cam Lewis,183.0,69.0,26,Detroit,MI,USA,Cornerback,cam-lewis,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3916577.png
2,Tyler Matakevich,235.0,73.0,30,Stratford,CT,USA,Linebacker,tyler-matakevich,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2976249.png
2,Jared Mayden,205.0,72.0,24,Sachse,TX,USA,Safety,jared-mayden,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040975.png
2,Kyler McMichael,202.0,72.0,23,Atlanta,GA,USA,Cornerback,kyler-mcmichael,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4360313.png
2,Matt Milano,223.0,72.0,28,Orlando,FL,USA,Linebacker,matt-milano,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3046287.png
2,Von Miller,250.0,75.0,34,Desoto,TX,USA,Linebacker,von-miller,12,active,https://a.espncdn.com/i/headshots/nfl/players/full/13976.png
2,Siran Neal,206.0,72.0,28,Eufaula,AL,USA,Cornerback,siran-neal,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3057524.png
2,Ed Oliver,287.0,73.0,25,Houston,TX,USA,Defensive Tackle,ed-oliver,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4039303.png
2,Jordan Phillips,330.0,78.0,30,Towanda,KS,USA,Defensive Tackle,jordan-phillips,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2577466.png
2,Jordan Poyer,191.0,72.0,31,Astoria,OR,USA,Safety,jordan-poyer,10,active,https://a.espncdn.com/i/headshots/nfl/players/full/15979.png
2,Taylor Rapp,208.0,72.0,25,Bellingham,WA,USA,Safety,taylor-rapp,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4039007.png
2,Greg Rousseau,266.0,78.0,23,Coconut Creek,FL,USA,Defensive End,greg-rousseau,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4362506.png
2,Tim Settle,313.0,75.0,25,Manassas,VA,USA,Defensive Tackle,tim-settle,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3929956.png
2,Baylon Spector,233.0,74.0,24,Calhoun,GA,USA,Linebacker,baylon-spector,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4239997.png
2,Kendal Vickers,295.0,75.0,27,Havelock,NC,USA,Defensive End,kendal-vickers,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3044732.png
2,Tre'Davious White,192.0,71.0,28,Shreveport,LA,USA,Cornerback,tredavious-white,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3042717.png
3,Andrew Billings,311.0,73.0,28,Waco,TX,USA,Defensive Tackle,andrew-billings,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3051775.png
3,Josh Blackwell,180.0,71.0,24,Buford,GA,USA,Cornerback,josh-blackwell,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240459.png
3,Jaquan Brisker,200.0,73.0,23,Pittsburgh,PA,USA,Safety,jaquan-brisker,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4570044.png
3,Andrew Brown,296.0,75.0,27,Chesapeake,VA,USA,Defensive Tackle,andrew-brown,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116761.png
3,Adrian Colbert,205.0,74.0,29,Mineral Wells,TX,USA,Safety,adrian-colbert,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2971699.png
3,Dylan Cole,237.0,72.0,28,Rogersville,MO,USA,Linebacker,dylan-cole,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2986109.png
3,Kuony Deng,240.0,78.0,24,Aldie,VA,USA,Linebacker,kuony-deng,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4569242.png
3,Tremaine Edmunds,250.0,77.0,24,Danville,VA,USA,Linebacker,tremaine-edmunds,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3929950.png
3,T.J. Edwards,242.0,73.0,26,Lake Villa,IL,USA,Linebacker,tj-edwards,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3121544.png
3,Trevis Gipson,263.0,76.0,25,Cedar Hill,TX,USA,Linebacker,trevis-gipson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3917016.png
3,Kyler Gordon,200.0,72.0,23,Mukilteo,WA,USA,Cornerback,kyler-gordon,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4361093.png
3,Gerri Green,250.0,76.0,27,Greenville,MS,USA,Defensive End,gerri-green,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/3115469.png
3,Rasheem Green,279.0,76.0,25,Los Angeles,CA,USA,Defensive End,rasheem-green,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3912562.png
3,Harrison Hand,197.0,71.0,24,Cherry Hill,NJ,USA,Cornerback,harrison-hand,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259170.png
3,Elijah Hicks,200.0,71.0,23,Long Beach,CA,USA,Safety,elijah-hicks,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242402.png
3,Jalyn Holmes,283.0,77.0,27,Norfolk,VA,USA,Defensive End,jalyn-holmes,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3121414.png
3,Eddie Jackson,206.0,72.0,29,Lauderdale Lakes,FL,USA,Safety,eddie-jackson,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3054847.png
3,Donovan Jeter,325.0,75.0,24,Beaver Falls,PA,USA,Defensive Tackle,donovan-jeter,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4258183.png
3,Jaylon Johnson,196.0,72.0,23,Fresno,CA,USA,Cornerback,jaylon-johnson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243253.png
3,Justin Jones,309.0,75.0,26,Austell,GA,USA,Defensive Tackle,justin-jones,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116746.png
3,Terrell Lewis,262.0,77.0,24,Washington,DC,USA,Linebacker,terrell-lewis,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040968.png
3,Michael Ojemudia,200.0,73.0,25,Farmington Hills,MI,USA,Cornerback,michael-ojemudia,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3894830.png
3,Dominique Robinson,253.0,77.0,24,Canton,OH,USA,Defensive End,dominique-robinson,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4244300.png
3,Jack Sanborn,234.0,74.0,22,Deer Park,IL,USA,Linebacker,jack-sanborn,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4372576.png
3,Greg Stroman Jr.,180.0,71.0,27,Bristow,VA,USA,Cornerback,greg-stroman-jr,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3124086.png
3,A.J. Thomas,214.0,74.0,23,Detroit,MI,USA,Safety,aj-thomas,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240155.png
3,Kindle Vildor,189.0,71.0,25,College Park,GA,USA,Cornerback,kindle-vildor,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4036651.png
3,DeMarcus Walker,280.0,76.0,28,Jacksonville,FL,USA,Defensive End,demarcus-walker,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3045377.png
3,Sterling Weatherford,224.0,76.0,24,Cicero,IN,USA,Linebacker,sterling-weatherford,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4244299.png
4,Tycen Anderson,210.0,74.0,23,Toledo,OH,USA,Safety,tycen-anderson,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4257240.png
4,Chidobe Awuzie,202.0,72.0,27,San Jose,CA,USA,Cornerback,chidobe-awuzie,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3052101.png
4,Joe Bachie,235.0,74.0,25,Brook Park,OH,USA,Linebacker,joe-bachie,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4036507.png
4,Markus Bailey,235.0,72.0,26,Columbus,OH,USA,Linebacker,markus-bailey,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3917992.png
4,Tarell Basham,266.0,76.0,29,Rocky Mount,VA,USA,Linebacker,tarell-basham,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3052977.png
4,Owen Carney,275.0,75.0,24,Miami,FL,USA,Linebacker,owen-carney,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240563.png
4,Zach Carter,290.0,76.0,24,Tampa,FL,USA,Defensive Tackle,zach-carter,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240619.png
4,Yusuf Corker,197.0,72.0,24,Mcdonough,GA,USA,Safety,yusuf-corker,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259980.png
4,Jalen Davis,190.0,70.0,27,La Mesa,CA,USA,Cornerback,jalen-davis,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3125356.png
4,Akeem Davis-Gaither,228.0,74.0,25,Thomasville,NC,USA,Linebacker,akeem-davis-gaither,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3917142.png
4,Allan George,191.0,71.0,23,Andalusia,AL,USA,Cornerback,allan-george,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242655.png
4,Jeff Gunter,263.0,76.0,23,Durham,NC,USA,Defensive End,jeff-gunter,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241089.png
4,Trey Hendrickson,270.0,76.0,28,Apopka,FL,USA,Defensive End,trey-hendrickson,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3052743.png
4,BJ Hill,303.0,75.0,27,Oakboro,NC,USA,Defensive Tackle,bj-hill,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116748.png
4,Dax Hill,192.0,72.0,22,Tulsa,OK,USA,Safety,dax-hill,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4426422.png
4,Mike Hilton,184.0,69.0,29,Fayetteville,GA,USA,Cornerback,mike-hilton,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2980383.png
4,Sam Hubbard,265.0,77.0,27,Cincinnati,OH,USA,Defensive End,sam-hubbard,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3121416.png
4,Raymond Johnson III,264.0,75.0,24,Sumter,SC,USA,Defensive End,raymond-johnson-iii,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241135.png
4,Keandre Jones,220.0,75.0,25,Olney,MD,USA,Linebacker,keandre-jones,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040621.png
4,Sidney Jones IV,181.0,72.0,26,Diamond Bar,CA,USA,Cornerback,sidney-jones-iv,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3127299.png
4,Joseph Ossai,263.0,76.0,23,Conroe,TX,USA,Defensive End,joseph-ossai,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4362094.png
4,Germaine Pratt,250.0,74.0,26,High Point,NC,USA,Linebacker,germaine-pratt,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116724.png
4,DJ Reader,335.0,75.0,28,Greensboro,NC,USA,Defensive Tackle,dj-reader,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2977670.png
4,Cam Sample,272.0,75.0,23,Snellville,GA,USA,Defensive End,cam-sample,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243923.png
4,Nick Scott,201.0,71.0,27,Fairfax,VA,USA,Safety,nick-scott,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116179.png
4,Cam Taylor-Britt,202.0,72.0,23,Montgomery,AL,USA,Cornerback,cam-taylor-britt,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4361196.png
4,Marvell Tell III,198.0,74.0,26,Pasadena,CA,USA,Cornerback,marvell-tell-iii,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3912544.png
4,Michael Thomas,192.0,71.0,33,Houston,TX,USA,Safety,michael-thomas,9,active,https://a.espncdn.com/i/headshots/nfl/players/full/15231.png
4,Jay Tufele,305.0,75.0,23,Salt Lake City,UT,USA,Defensive Tackle,jay-tufele,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259647.png
4,Josh Tupou,340.0,75.0,28,Buena Park,CA,USA,Defensive Tackle,josh-tupou,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/2979632.png
4,Logan Wilson,245.0,74.0,26,Casper,WY,USA,Linebacker,logan-wilson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3918330.png
5,Matthew Adams,230.0,72.0,27,Missouri City,TX,USA,Linebacker,matthew-adams,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3126179.png
5,D'Anthony Bell,211.0,73.0,26,Covington,GA,USA,Safety,danthony-bell,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4608386.png
5,Bubba Bolden,204.0,75.0,23,Las Vegas,NV,USA,Safety,bubba-bolden,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259631.png
5,Grant Delpit,208.0,75.0,24,Houston,TX,USA,Safety,grant-delpit,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242208.png
5,Michael Dwumfour,296.0,73.0,25,Scotch Plains,NJ,USA,Defensive Tackle,michael-dwumfour,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4046544.png
5,Jordan Elliott,303.0,76.0,25,Missouri City,TX,USA,Defensive Tackle,jordan-elliott,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4039052.png
5,Martin Emerson Jr.,201.0,74.0,22,Pensacola,FL,USA,Cornerback,martin-emerson-jr,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4429568.png
5,Tony Fields II,222.0,72.0,23,Las Vegas,NV,USA,Linebacker,tony-fields-ii,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4245655.png
5,Mike Ford,194.0,72.0,27,Alton,IL,USA,Cornerback,mike-ford,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3050916.png
5,Myles Garrett,272.0,76.0,27,Arlington,TX,USA,Defensive End,myles-garrett,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3122132.png
5,Thomas Graham Jr.,196.0,70.0,23,Rancho Cucamonga,CA,USA,Cornerback,thomas-graham-jr,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242485.png
5,A.J. Green,198.0,74.0,24,Desoto,TX,USA,Cornerback,aj-green,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4038437.png
5,Trysten Hill,310.0,75.0,25,Lee,FL,USA,Defensive Tackle,trysten-hill,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4042141.png
5,Maurice Hurst,291.0,74.0,27,Westwood,MA,USA,Defensive Tackle,maurice-hurst,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3045220.png
5,Storey Jackson,235.0,74.0,25,Kansas City,KS,USA,Linebacker,storey-jackson,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4370933.png
5,Sam Kamara,275.0,74.0,25,Carteret,NJ,USA,Linebacker,sam-kamara,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4033855.png
5,Jordan Kunaszyk,235.0,75.0,26,Sacramento,CA,USA,Linebacker,jordan-kunaszyk,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035866.png
5,Greg Newsome II,192.0,72.0,22,Chicago,IL,USA,Cornerback,greg-newsome-ii,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4361266.png
5,Ogbonnia Okoronkwo,253.0,74.0,27,Houston,TX,USA,Defensive End,ogbonnia-okoronkwo,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3052667.png
5,Jeremiah Owusu-Koramoah,221.0,74.0,23,Hampton,VA,USA,Linebacker,jeremiah-owusu-koramoah,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4258599.png
5,Roderick Perry II,304.0,73.0,25,Raleigh,NC,USA,Defensive Tackle,roderick-perry-ii,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4052609.png
5,Jacob Phillips,228.0,75.0,24,Nashville,TN,USA,Linebacker,jacob-phillips,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242206.png
5,Ben Stille,296.0,76.0,25,Ashland,NE,USA,Defensive Tackle,ben-stille,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4034861.png
5,Sione Takitaki,238.0,73.0,27,Fontana,CA,USA,Linebacker,sione-takitaki,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3138834.png
5,Isaiah Thomas,266.0,77.0,24,Tulsa,OK,USA,Defensive End,isaiah-thomas,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241404.png
5,Juan Thornhill,205.0,72.0,27,Altavista,VA,USA,Safety,juan-thornhill,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3917909.png
5,Tommy Togiai,296.0,74.0,23,Pocatello,ID,USA,Defensive Tackle,tommy-togiai,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4361366.png
5,Dalvin Tomlinson,325.0,75.0,29,Mcdonough,GA,USA,Defensive Tackle,dalvin-tomlinson,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2979860.png
5,Anthony Walker Jr.,235.0,73.0,27,Miami,FL,USA,Linebacker,anthony-walker-jr,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3045251.png
5,Denzel Ward,190.0,71.0,25,Macedonia,OH,USA,Cornerback,denzel-ward,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3915535.png
5,Perrion Winfrey,290.0,76.0,22,Maywood,IL,USA,Defensive Tackle,perrion-winfrey,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4686470.png
5,Alex Wright,267.0,77.0,22,Elba,AL,USA,Defensive End,alex-wright,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4570119.png
6,Dorance Armstrong,255.0,76.0,25,Houston,TX,USA,Defensive End,dorance-armstrong,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3928979.png
6,Markquese Bell,205.0,75.0,24,Bridgeton,NJ,USA,Safety,markquese-bell,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241921.png
6,DaRon Bland,197.0,72.0,23,Modesto,CA,USA,Cornerback,daron-bland,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4248911.png
6,Quinton Bohanna,360.0,76.0,24,Cordova,TN,USA,Defensive Tackle,quinton-bohanna,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259978.png
6,Devante Bond,236.0,73.0,29,Sacramento,CA,USA,Linebacker,devante-bond,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116368.png
6,Damone Clark,240.0,75.0,22,Baton Rouge,LA,USA,Linebacker,damone-clark,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4362636.png
6,Jabril Cox,233.0,75.0,24,Kansas City,MO,USA,Linebacker,jabril-cox,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040940.png
6,Tyler Coyle,209.0,73.0,24,Windsor,CT,USA,Safety,tyler-coyle,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4044079.png
6,Trevon Diggs,195.0,74.0,24,Gaithersburg,MD,USA,Cornerback,trevon-diggs,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040966.png
6,Dante Fowler Jr.,261.0,75.0,28,Saint Petersburg,FL,USA,Defensive End,dante-fowler-jr,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2980100.png
